Employee ID_recipient,Employee ID_adviser,go to reason,advice area count,energy level,Employment Type_recipient,Position Title_recipient,Date in service_recipient,On Site Frequency_recipient,Business Unit level 1_recipient,Business Unit level 2_recipient,Employment Type_adviser,Position Title_adviser,Date in service_adviser,On Site Frequency_adviser,Business Unit level 1_adviser,Business Unit level 2_adviser
3042370,3042755,"Delivering to
Customers,Technical
Expertise",2,Stays about the same,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"Manager, CRM",2024-01-08,Fully Remote,Brand 2,Marketing - Brand 2
2002909,3021660,"Technical
Expertise",1,Goes down,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2
3042739,3027478,"Navigating
Change,Technical
Expertise",2,Goes up sharply,Salaried,Sr. Principal Data Engineer,2024-01-16,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2
3029814,3030188,,0,Stays about the same,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2
3033414,2003209,"Delivering to
Customers",1,Stays about the same,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2
3043751,2003209,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Goes up sharply,Salaried,Merchandising Specialist II,2024-03-18,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2
2002724,2002895,"Delivering to
Customers",1,Stays about the same,Hourly,Lead Customer Service Representative 5,2020-06-16,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3030382,3025961,"Technical
Expertise",1,Goes down,Salaried,Principal Software Development Engineer,2022-11-14,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2022-08-29,Fully Remote,Corporate,Engineering - Brand 2
2002893,3018469,"Technical
Expertise",1,Stays about the same,Hourly,Customer Service Representative 4,2012-11-26,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Corporate Attorney,2021-11-22,Hybrid,Corporate,Legal
2002643,2002680,"Delivering to
Customers",1,Stays about the same,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2
2002252,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Stays about the same,Hourly,Customer Service Representative 3,2017-07-25,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2002895,2002956,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3007231,2003155,"Financial
Resources,Navigating
Change,Career
Development",3,Stays about the same,Salaried,Merchandising Specialist I,2021-03-15,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
3034698,3037311,"Career
Development,Technical
Expertise",2,Goes up sharply,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Software Development Engineer,2023-08-28,Fully Remote,Corporate,Engineering - Brand 2
2002210,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Hourly,Customer Service Representative 4,2018-09-11,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3022260,3042755,"Delivering to
Customers",1,Goes up,Salaried,Graphic Designer I,2022-06-20,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, CRM",2024-01-08,Fully Remote,Brand 2,Marketing - Brand 2
2002394,3021660,"Financial
Resources,Navigating
Change,Career
Development,Technical
Expertise",4,Stays about the same,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2
3022906,3023032,"Navigating
Change,Technical
Expertise",2,Goes up sharply,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
2003155,2003148,"Navigating
Change",1,Goes up,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
3040598,2003148,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"VP, GM Brand 2",2023-10-04,Fully Remote,Corporate,Leadership,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
2002936,2002956,"Navigating
Change,Career
Development,Technical
Expertise",3,Goes up,Hourly,Customer Service Representative 4,2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003036,2003148,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"Director, Sales",2021-02-15,Hybrid,Brand 2,Sales - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
2003156,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up sharply,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2003000,3023646,"Delivering to
Customers",1,Goes down,Salaried,Sr. Product Specialist I,2013-02-11,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Specialist II,2022-08-01,Fully Remote,Corporate,Engineering - Brand 2
2002435,2002895,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Hourly,Customer Service Representative 3,2020-09-03,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
2002680,2003148,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
2003193,2002956,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Stays about the same,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2000237,2003018,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Salaried,Art Director II,2020-01-27,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Sr. Manager, Merchandising",2015-03-04,Hybrid,Brand 2,Product Merchandising - Brand 2
2002605,2003000,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up sharply,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Product Specialist I,2013-02-11,Fully Remote,Corporate,Engineering - Brand 2
3044059,3023460,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Sr. Manager, Engineering",2024-04-22,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2
3022812,3029814,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,Designer II - UX Design,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2
3027478,3029814,"Delivering to
Customers",1,Goes up,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2
3043340,3034698,"Technical
Expertise",1,Stays about the same,Salaried,Software Development Engineer II,2024-02-20,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2
3043896,2002605,"Delivering to
Customers",1,Goes up,Salaried,"Sr. Manager, Engineering",2024-04-01,Fully Remote,Brand 2,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3037311,3034698,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,Sr. Principal Software Development Engineer,2023-08-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2
3031524,2002394,"Delivering to
Customers,Technical
Expertise",2,Goes up sharply,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
3030188,3022812,"Delivering to
Customers",1,Goes up,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2,Salaried,Designer II - UX Design,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
3029869,2003186,"Technical
Expertise",1,Stays about the same,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Product Specialist II,2014-03-26,Hybrid,Corporate,Engineering - Brand 2
2003137,2002605,"Navigating
Change,Technical
Expertise",2,Goes up,Salaried,"Spvsr, Customer Service I",2013-03-04,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
2003173,3029869,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3021784,2003173,"Navigating
Change",1,Goes up,Hourly,Customer Service Representative 3,2022-05-09,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3044041,2002643,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2
2002937,3023032,"Technical
Expertise",1,Goes up,Salaried,Sr. Software Development Engineer I,2016-06-23,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
2002620,3022260,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Graphic Designer I,2019-11-11,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Graphic Designer I,2022-06-20,Hybrid,Brand 2,Marketing - Brand 2
2003171,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Stays about the same,Hourly,Customer Service Representative 4,2021-07-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3042755,3045090,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Salaried,"Manager, CRM",2024-01-08,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,CRM Manager II,2024-07-08,Hybrid,Brand 2,Marketing - Brand 2
2003209,3033414,"Financial
Resources",1,Stays about the same,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2
3029900,3043751,"Financial
Resources,Navigating
Change,Delivering to
Customers",3,Goes down,Salaried,"Sr. Manager, Channel Marketing",2022-11-14,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,Merchandising Specialist II,2024-03-18,Hybrid,Brand 2,Product Merchandising - Brand 2
2002166,3020739,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Salaried,Partner Marketing Specialist I,2014-09-29,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2
2003186,3023646,"Delivering to
Customers",1,Stays about the same,Salaried,Product Specialist II,2014-03-26,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Specialist II,2022-08-01,Fully Remote,Corporate,Engineering - Brand 2
3038672,2003191,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,Sr. Data Engineer I,2023-09-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Director, Finance",2017-08-07,Hybrid,Corporate,Finance
2002956,2003156,"Financial
Resources,Navigating
Change,Delivering to
Customers",3,Goes up,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
3029400,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 3,2022-10-17,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3031823,2003173,"Navigating
Change",1,Goes up sharply,Hourly,Customer Service Representative 3,2022-12-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2002934,2002643,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up sharply,Salaried,Sr. Marketing Specialist II,2013-10-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2
2003133,2002620,,0,Stays about the same,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Graphic Designer I,2019-11-11,Hybrid,Brand 2,Marketing - Brand 2
2002939,3020739,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Salaried,Product Sourcing Analyst II,2020-11-30,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2
3025961,3043896,"Financial
Resources",1,Stays about the same,Salaried,Sr. Software Development Engineer I,2022-08-29,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Sr. Manager, Engineering",2024-04-01,Fully Remote,Brand 2,Engineering - Brand 2
2003109,3029869,"Navigating
Change,Delivering to
Customers",2,Goes up,Hourly,Lead Customer Service Representative 5,2021-01-25,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3020739,2003209,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2
2003148,2002934,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Marketing Specialist II,2013-10-16,Hybrid,Brand 2,Marketing - Brand 2
3019286,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 3,2022-01-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3021660,2003036,"Delivering to
Customers",1,Stays about the same,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Director, Sales",2021-02-15,Hybrid,Brand 2,Sales - Brand 2
2003115,2002643,"Delivering to
Customers",1,Stays about the same,Salaried,Social Media Specialist I,2021-03-01,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2
3023460,3031524,"Navigating
Change,Technical
Expertise",2,Goes up,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
3023032,2002394,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
2002910,3029869,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Goes up sharply,Hourly,Customer Service Representative 4,2020-05-26,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3042370,2003155,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Stays about the same,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2002909,3030188,"Delivering to
Customers",1,Stays about the same,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2
3042739,3021660,"Financial
Resources,Career
Development",2,Goes up sharply,Salaried,Sr. Principal Data Engineer,2024-01-16,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2
3029814,3022812,,0,Goes down,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Designer II - UX Design,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
3033414,3043751,"Delivering to
Customers",1,Stays about the same,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,Merchandising Specialist II,2024-03-18,Hybrid,Brand 2,Product Merchandising - Brand 2
3043751,3033414,"Technical
Expertise",1,Goes up sharply,Salaried,Merchandising Specialist II,2024-03-18,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2
3030382,3042739,"Technical
Expertise",1,Stays about the same,Salaried,Principal Software Development Engineer,2022-11-14,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Data Engineer,2024-01-16,Fully Remote,Corporate,Engineering - Brand 2
2002893,2003018,"Delivering to
Customers",1,Goes up,Hourly,Customer Service Representative 4,2012-11-26,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Merchandising",2015-03-04,Hybrid,Brand 2,Product Merchandising - Brand 2
2002643,3044041,"Delivering to
Customers",1,Goes down,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2
2002895,2003193,"Delivering to
Customers",1,Goes up,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2
3007231,3033414,"Financial
Resources",1,Goes down,Salaried,Merchandising Specialist I,2021-03-15,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2
3034698,2002937,"Delivering to
Customers",1,Goes up,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2016-06-23,Hybrid,Corporate,Engineering - Brand 2
2002210,3020739,"Financial
Resources,Technical
Expertise",2,Goes up,Hourly,Customer Service Representative 4,2018-09-11,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2
3022260,2002620,"Technical
Expertise",1,Goes up,Salaried,Graphic Designer I,2022-06-20,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Graphic Designer I,2019-11-11,Hybrid,Brand 2,Marketing - Brand 2
2002394,2003000,"Delivering to
Customers,Technical
Expertise",2,Stays about the same,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Product Specialist I,2013-02-11,Fully Remote,Corporate,Engineering - Brand 2
3022906,2002394,"Delivering to
Customers",1,Stays about the same,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
3031620,3022260,"Career
Development,Delivering to
Customers",2,Stays about the same,Salaried,Graphic Designer I,2022-12-05,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,Graphic Designer I,2022-06-20,Hybrid,Brand 2,Marketing - Brand 2
2003155,3021660,"Delivering to
Customers,Technical
Expertise",2,Goes down,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2
3040598,3042370,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"VP, GM Brand 2",2023-10-04,Fully Remote,Corporate,Leadership,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2
2002936,2003156,"Career
Development,Technical
Expertise",2,Goes up,Hourly,Customer Service Representative 4,2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
2003036,3042370,"Technical
Expertise",1,Goes up,Salaried,"Director, Sales",2021-02-15,Hybrid,Brand 2,Sales - Brand 2,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2
2003156,3029869,"Technical
Expertise",1,Goes up sharply,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
2003000,2002605,"Technical
Expertise",1,Goes up sharply,Salaried,Sr. Product Specialist I,2013-02-11,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
2002435,2003173,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Hourly,Customer Service Representative 3,2020-09-03,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2002680,3044041,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2
2003193,2002166,"Delivering to
Customers,Technical
Expertise",2,Stays about the same,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Partner Marketing Specialist I,2014-09-29,Hybrid,Brand 2,Marketing - Brand 2
2002605,3027478,"Delivering to
Customers,Technical
Expertise",2,Stays about the same,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2
3044059,3037311,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Sr. Manager, Engineering",2024-04-22,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Software Development Engineer,2023-08-28,Fully Remote,Corporate,Engineering - Brand 2
3022812,3030188,"Technical
Expertise",1,Goes up,Salaried,Designer II - UX Design,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2
3027478,2002394,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
3043340,3025961,"Technical
Expertise",1,Stays about the same,Salaried,Software Development Engineer II,2024-02-20,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2022-08-29,Fully Remote,Corporate,Engineering - Brand 2
3043896,3031524,"Financial
Resources,Navigating
Change,Career
Development,Technical
Expertise",4,Goes up,Salaried,"Sr. Manager, Engineering",2024-04-01,Fully Remote,Brand 2,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
3037311,3044059,"Delivering to
Customers",1,Goes down,Salaried,Sr. Principal Software Development Engineer,2023-08-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Sr. Manager, Engineering",2024-04-22,Fully Remote,Corporate,Engineering - Brand 2
3031524,3027478,"Delivering to
Customers,Technical
Expertise",2,Goes up sharply,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2
3030188,2002909,"Delivering to
Customers",1,Goes down,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2
3029869,3023646,"Technical
Expertise",1,Goes down,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Product Specialist II,2022-08-01,Fully Remote,Corporate,Engineering - Brand 2
2003137,2003036,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,"Spvsr, Customer Service I",2013-03-04,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Director, Sales",2021-02-15,Hybrid,Brand 2,Sales - Brand 2
2003173,2003156,"Financial
Resources,Navigating
Change,Delivering to
Customers",3,Goes up,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
3021784,3029869,"Navigating
Change",1,Goes up,Hourly,Customer Service Representative 3,2022-05-09,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3044041,2002680,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2
