Employee ID_sender,Employee ID_receiver,relevanceScore,On Site Frequency_sender,Position Title_sender,Date in service_sender,Business Unit level 1_sender,Business Unit level 2_sender,On Site Frequency_receiver,Position Title_receiver,Date in service_receiver,Business Unit level 1_receiver,Business Unit level 2_receiver,Years in service_sender,Years in service_receiver
3027478,3019452,128.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Hybrid,Data Warehouse Analyst I,2022-01-31,Corporate,Supply Chain,1.92,2.53
3027478,3044059,107.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,1.92,0.31
3042755,3042370,5457.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,0.6,0.71
3042755,2003036,2135.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,0.6,3.49
3042755,2003133,1842.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,0.6,12.16
3042755,2003155,1614.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,0.6,5.78
3042755,2003018,1588.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,0.6,9.45
3042755,3022260,1554.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,0.6,2.15
3042755,2003148,1261.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,0.6,8.75
3042755,3045090,715.0,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,0.6,0.1
3019286,2002895,77.0,Hybrid,Customer Service Representative 3,2022-01-24,Brand 2,Customer Service - Brand 2,Hybrid,"Spvsr, Customer Service I",2015-03-30,Brand 2,Customer Service - Brand 2,2.55,9.38
3019286,2003173,56.0,Hybrid,Customer Service Representative 3,2022-01-24,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,2.55,10.4
3019286,2002724,27.0,Hybrid,Customer Service Representative 3,2022-01-24,Brand 2,Customer Service - Brand 2,Hybrid,Lead Customer Service Representative 5,2020-06-16,Brand 2,Customer Service - Brand 2,2.55,4.16
2003136,2002895,2207.0,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,Hybrid,"Spvsr, Customer Service I",2015-03-30,Brand 2,Customer Service - Brand 2,3.47,9.38
2003136,2002956,238.0,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,3.47,7.25
2003136,2001256,124.0,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,Site Critical,Lead Quality Coordinator 5,2011-06-20,Operations,Manufacturing-Brand 1,3.47,13.16
2003136,2002599,105.0,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,Site Critical,"Director, Quality",2018-06-04,Operations,Manufacturing-Brand 1,3.47,6.2
2003136,2001062,105.0,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,Site Critical,Lead Quality Coordinator 5,2007-08-01,Operations,Manufacturing-Brand 1,3.47,17.05
2002643,2003148,2820.0,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,3.28,8.75
2002643,2002680,2645.0,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2,3.28,4.16
2002643,2003036,425.0,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,3.28,3.49
3030382,3031524,29.0,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,1.75,1.71
3030382,3021660,29.0,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,1.75,2.27
3030382,3042739,29.0,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,1.75,0.58
3030382,3038672,19.0,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2,Hybrid,Sr. Data Engineer I,2023-09-18,Corporate,Engineering - Brand 2,1.75,0.9
3030382,3027478,19.0,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,1.75,1.92
3022260,2003133,1348.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,2.15,12.16
3022260,2003209,678.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,2.15,8.79
3022260,3042755,473.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,2.15,0.6
3022260,2003148,346.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,2.15,8.75
3022260,2003036,342.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,2.15,3.49
3022260,2003018,303.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,2.15,9.45
3022260,3043751,78.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,Merchandising Specialist II,2024-03-18,Brand 2,Product Merchandising - Brand 2,2.15,0.41
3022260,3045090,78.0,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,2.15,0.1
2003217,2003144,29.0,Hybrid,Principal Software Development Engineer,2019-02-21,Corporate,Engineering - Brand 2,Hybrid,Principal Software Development Engineer,2014-06-23,Corporate,Engineering - Brand 2,5.48,10.15
2003217,3031524,9.0,Hybrid,Principal Software Development Engineer,2019-02-21,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,5.48,1.71
2003217,2003064,9.0,Hybrid,Principal Software Development Engineer,2019-02-21,Corporate,Engineering - Brand 2,Hybrid,Sr. Software Development Engineer I,2015-10-28,Corporate,Engineering - Brand 2,5.48,8.8
3042370,3042755,778.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,0.71,0.6
3042370,3040598,763.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,0.71,0.86
3042370,3042810,434.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Fully Remote,Sr. Web Analyst II,2024-02-12,Corporate,Marketing,0.71,0.5
3042370,2003155,318.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,0.71,5.78
3042370,3019878,302.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Hybrid,Sr. Web Analyst I,2022-02-22,Corporate,Marketing,0.71,2.47
3042370,3015847,265.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Hybrid,"Director, Social Media",2021-10-11,Corporate,Marketing,0.71,2.84
3042370,3033414,203.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Fully Remote,Sr. Merchandising Specialist I,2023-04-10,Brand 2,Product Merchandising - Brand 2,0.71,1.35
3042370,3045090,164.0,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,0.71,0.1
2003000,2002394,926.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,11.51,9.43
2003000,2002940,795.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Transportation & Logistics",2011-04-27,Corporate,Supply Chain,11.51,13.31
2003000,3021660,671.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,11.51,2.27
2003000,2002330,584.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Fully Remote,Product Manager,2017-06-19,Corporate,Technology,11.51,7.16
2003000,2003173,281.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,11.51,10.4
2003000,3031524,216.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,11.51,1.71
2003000,2003139,185.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Fully Remote,Product Specialist II,2013-10-16,Corporate,Technology,11.51,10.83
2003000,2001382,145.0,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,Hybrid,Application Engineering Director,2008-08-27,Corporate,Technology,11.51,15.97
2002956,2003173,420.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,7.25,10.4
2002956,2002895,305.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Hybrid,"Spvsr, Customer Service I",2015-03-30,Brand 2,Customer Service - Brand 2,7.25,9.38
2002956,2002252,275.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2,7.25,7.06
2002956,2003136,243.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2,7.25,3.47
2002956,2003193,191.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Hybrid,"Spvsr, Customer Service I",2020-08-10,Brand 2,Customer Service - Brand 2,7.25,4.01
2002956,2002271,101.0,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,Site Critical,Order Expediter 4,2017-04-10,Operations,Manufacturing-Brand 1,7.25,7.35
3037311,3031524,29.0,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,0.96,1.71
3037311,2002605,9.0,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,0.96,8.45
3037311,3034698,9.0,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2,Fully Remote,Sr. Software Development Engineer I,2023-07-10,Corporate,Engineering - Brand 2,0.96,1.1
3037311,2003186,9.0,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2,Hybrid,Product Specialist II,2014-03-26,Corporate,Engineering - Brand 2,0.96,10.39
3037311,3027665,9.0,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, Optimization",2022-09-19,Corporate,Marketing,0.96,1.9
2003209,2003155,2358.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,8.79,5.78
2003209,3043751,2241.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Hybrid,Merchandising Specialist II,2024-03-18,Brand 2,Product Merchandising - Brand 2,8.79,0.41
2003209,3020739,1737.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Manager, Product Sourcing",2022-03-28,Brand 2,Product Merchandising - Brand 2,8.79,2.38
2003209,2003018,1362.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,8.79,9.45
2003209,3042755,1119.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,8.79,0.6
2003209,2003133,986.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,8.79,12.16
2003209,3022260,766.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,8.79,2.15
2003209,3033414,598.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Fully Remote,Sr. Merchandising Specialist I,2023-04-10,Brand 2,Product Merchandising - Brand 2,8.79,1.35
2003209,3031509,409.0,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,Fully Remote,Sr. Digital Marketing Specialist II,2022-12-05,Corporate,Marketing,8.79,1.69
3029366,2002252,38.0,Fully Remote,Customer Service Representative 3,2022-10-10,Brand 2,Customer Service - Brand 2,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2,1.84,7.06
3029366,2003156,19.0,Fully Remote,Customer Service Representative 3,2022-10-10,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,1.84,9.44
3029366,2002724,18.0,Fully Remote,Customer Service Representative 3,2022-10-10,Brand 2,Customer Service - Brand 2,Hybrid,Lead Customer Service Representative 5,2020-06-16,Brand 2,Customer Service - Brand 2,1.84,4.16
3029366,3042755,10.0,Fully Remote,Customer Service Representative 3,2022-10-10,Brand 2,Customer Service - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,1.84,0.6
2002166,3029900,1063.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Fully Remote,"Sr. Manager, Channel Marketing",2022-11-14,Brand 2,Marketing - Brand 2,9.88,1.75
2002166,2002247,486.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Site Critical,Production Manager,2017-02-06,Operations,Manufacturing-Brand 1,9.88,7.52
2002166,2001885,397.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Site Critical,"Director, Manufacturing",2017-08-28,Operations,Manufacturing-Brand 1,9.88,6.96
2002166,2000788,320.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Site Critical,Shift Manager - Ops I,2020-06-22,Operations,Manufacturing-Brand 1,9.88,4.15
2002166,2002027,206.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Site Critical,Production Manager,2016-02-22,Operations,Manufacturing-Brand 1,9.88,8.48
2002166,2001896,96.0,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2,Site Critical,"Spvsr, Lab Process II",2015-09-21,Operations,Manufacturing-Brand 1,9.88,8.9
3029814,3021660,814.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,1.79,2.27
3029814,2002605,715.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,1.79,8.45
3029814,2002909,416.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,1.79,8.74
3029814,2003018,304.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,1.79,9.45
3029814,3042370,291.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,1.79,0.71
3029814,2003155,262.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,1.79,5.78
3029814,3042755,255.0,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,1.79,0.6
3022906,2002838,28.0,Fully Remote,Sr. Software Development Engineer II,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,Principal Software Development Engineer,2021-07-26,Corporate,Engineering - Brand 2,2.07,3.05
3022906,3021702,9.0,Fully Remote,Sr. Software Development Engineer II,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,Sr. IT Support Administrator I,2022-05-02,Corporate,Enterprise Information Systems,2.07,2.28
3042739,3027478,1273.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,0.58,1.92
3042739,3038672,1101.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,Sr. Data Engineer I,2023-09-18,Corporate,Engineering - Brand 2,0.58,0.9
3042739,3021660,801.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,0.58,2.27
3042739,3040598,345.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,0.58,0.86
3042739,2000800,99.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,Sr. Program Manager I,2020-06-29,Operations,Program Management,0.58,4.13
3042739,2001983,74.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,"Manager, Performance Analytics",2015-11-23,Corporate,Supply Chain,0.58,8.73
3042739,3019452,67.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,Data Warehouse Analyst I,2022-01-31,Corporate,Supply Chain,0.58,2.53
3042739,2016244,65.0,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,Hybrid,"Director, Data Engineering",2018-10-15,Corporate,Enterprise Information Systems,0.58,5.83
2002252,2002956,517.0,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,7.06,7.25
2002252,2001171,144.0,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2,Site Critical,"Spvsr, Lab Process II",2010-05-24,Operations,Manufacturing-Brand 1,7.06,14.23
2002252,2002271,138.0,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2,Site Critical,Order Expediter 4,2017-04-10,Operations,Manufacturing-Brand 1,7.06,7.35
2002937,2002605,123.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,8.15,8.45
2002937,3021660,87.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,8.15,2.27
2002937,3031524,84.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,8.15,1.71
2002937,3043896,29.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Fully Remote,"Sr. Manager, Engineering",2024-04-01,Brand 2,Engineering - Brand 2,8.15,0.37
2002937,2003206,27.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Hybrid,Sr. Growth Marketing Specialist I,2017-03-06,Corporate,Marketing,8.15,7.44
2002937,2002909,27.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,8.15,8.74
2002937,2003116,19.0,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2,Hybrid,"Manager, Growth Marketing",2021-07-19,Corporate,Marketing,8.15,3.07
2002909,3029814,621.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,8.74,1.79
2002909,3021660,580.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,8.74,2.27
2002909,2003018,286.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,8.74,9.45
2002909,2003155,267.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,8.74,5.78
2002909,2002605,248.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,8.74,8.45
2002909,2003186,236.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,Product Specialist II,2014-03-26,Corporate,Engineering - Brand 2,8.74,10.39
2002909,3031524,159.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,8.74,1.71
2002909,3033332,113.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,Site Optimization Manager,2023-04-17,Corporate,Marketing,8.74,1.33
2002909,3027665,113.0,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, Optimization",2022-09-19,Corporate,Marketing,8.74,1.9
3030680,3033436,9.0,Hybrid,Sr. Software Development Engineer II,2022-11-28,Corporate,Engineering - Brand 2,Hybrid,HR Generalist II,2023-04-17,Corporate,Human Resources,1.71,1.33
3030680,3031524,9.0,Hybrid,Sr. Software Development Engineer II,2022-11-28,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,1.71,1.71
3030680,3004803,9.0,Hybrid,Sr. Software Development Engineer II,2022-11-28,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, Human Resources",2020-10-26,Corporate,Human Resources,1.71,3.8
3030680,3028421,9.0,Hybrid,Sr. Software Development Engineer II,2022-11-28,Corporate,Engineering - Brand 2,Site Critical,Office Administrator 2,2022-09-26,Operations,Environmental Health & Safety,1.71,1.88
2003018,2003155,1497.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,9.45,5.78
2003018,3007231,1317.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,9.45,3.42
2003018,2003209,1239.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,9.45,8.79
2003018,2003133,1007.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,9.45,12.16
2003018,2003036,699.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,9.45,3.49
2003018,3042755,656.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,9.45,0.6
2003018,2002605,621.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,9.45,8.45
2003018,3029814,566.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,9.45,1.79
2003018,3042370,467.0,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,9.45,0.71
2003122,2003133,462.0,Hybrid,Graphic Designer II,2020-12-14,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,3.67,12.16
